"id","name","slug","abbr","catholic_pop","state","released","database_count","date_of_release","diocese_link","current_leader","leader_title","installation_date","usccb"
"2612","Diocese of Orange","diocese-of-orange","ORG","1570020","California","TRUE","18","Jan. 2004","https://www.rcbo.org/wp-content/uploads/Credibly%C2%BBAccused%C2%BBfinal%C2%BB31.III_.2019-4-2-19.pdf","Kevin Vann","Bishop","2012-12-10","TRUE"
"2613","Diocese of Orlando","diocese-of-orlando","ORL","424935","Florida","TRUE","20",,"https://www.orlandodiocese.org/holding-ourselves-accountable/removal-of-church-personnel-from-ministry/","John G. Noonan","Bishop","2010-12-16","TRUE"
"2614","Diocese of Owensboro","diocese-of-owensboro","OWN","51425","Kentucky","TRUE","18","April 2019","https://owensborodiocese.org/list/","William F. Medley","Bishop","2010-02-10","TRUE"
"2615","Diocese of Palm Beach","diocese-of-palm-beach","PMB","297070","Florida","FALSE",,,,"Gerald M. Barbarito","Bishop","2003-08-28","TRUE"
"2616","Diocese of Paterson","diocese-of-paterson","PAT","430000","New Jersey","TRUE","29","Feb. 2019","https://rcdop.org/list","Arthur J. Serratelli","Bishop","2004-07-06","TRUE"
"2617","Diocese of Pensacola-Tallahassee","diocese-of-pensacola-tallahassee","PT","63256","Florida","FALSE",,,,"William Wack CSC","Bishop","2017-08-22","TRUE"
"2618","Diocese of Peoria","diocese-of-peoria","PEO","190815","Illinois","TRUE","37","2018","https://cdop.org/safe-environment-program/","Daniel R. Jenky CSC","Bishop","2002-04-10","TRUE"
"2619","Diocese of Phoenix","diocese-of-phoenix","PHX","1208494","Arizona","TRUE","64","Oct. 2012","https://dphx.org/youth-protection/community-notification-statements/","Thomas J. Olmsted","Bishop","2003-12-20","TRUE"
"2620","Diocese of Pittsburgh","diocese-of-pittsburgh","PIT","631659","Pennsylvania","TRUE","108","Aug. 2018","https://diopitt.org/clergy-allegations","David A. Zubik","Bishop","2007-09-28","TRUE"
"2621","Diocese of Portland in Maine","diocese-of-portland-in-maine","PRT","216160","Maine","FALSE",,,,"Robert P. Deeley","Bishop","2014-02-14","TRUE"
"2622","Diocese of Providence","diocese-of-providence","PRO","625187","Rhode Island","TRUE","51","July 2019","https://dioceseofprovidence.org/list-of-credibly-accused-clergy","Thomas J. Tobin","Bishop","2005-05-31","TRUE"
"2623","Diocese of Pueblo","diocese-of-pueblo","PBL","186700","Colorado","FALSE",,,,"Stephen J. Berg","Bishop","2014-02-27","TRUE"
"2624","Diocese of Raleigh","diocese-of-raleigh","R","215564","North Carolina","TRUE","26","Oct. 2018","https://dioceseofraleigh.org/child-and-youth-protection/list-clergy-actionable-allegations-sexual-abuse-minors","Luis R. Zarama","Bishop","2019-08-27","TRUE"
"2625","Diocese of Rapid City","diocese-of-rapid-city","RC","24410","South Dakota","TRUE","21","March 2019","https://www.rapidcitydiocese.org/allegations-list/","Michel Mulloy","Diocesan Administrator",,"TRUE"
"2626","Diocese of Reno","diocese-of-reno","RNO","107700","Nevada","TRUE","13","April 2019","https://renodiocese.org/home/about-our-diocese/tribunal/5360-2/","Randolph R. Calvo","Bishop","2006-02-17","TRUE"
"2627","Diocese of Richmond","diocese-of-richmond","RIC","241276","Virginia","TRUE","54","Feb. 2019","https://richmonddiocese.org/list/","Barry C. Knestout","Bishop","2018-01-12","TRUE"
"2628","Diocese of Rochester","diocese-of-rochester","ROC","374585","New York","TRUE","26","June 2012","https://www.dor.org/protecting-our-children/dispositions-2002-present/","Salvatore R. Matano","Bishop","2014-01-03","TRUE"
"2629","Diocese of Rockford","diocese-of-rockford","RCK","487515","Illinois","TRUE","18","Nov. 2018","https://www.rockforddiocese.org/protecting-gods-children/","David J. Malloy","Bishop","2012-05-14","TRUE"
"2630","Diocese of Rockville Centre","diocese-of-rockville-centre","RVC","1508515","New York","FALSE",,,,"John O. Barres","Bishop","2017-01-31","TRUE"
"2631","Diocese of Sacramento","diocese-of-sacramento","SAC","1028448","California","TRUE","63","April 2019","https://www.scd.org/clergyabuse/list","Jamie Soto","Bishop","2008-11-29","TRUE"
"2632","Diocese of Saginaw","diocese-of-saginaw","SAG","154325","Michigan","TRUE","30","April 2018","https://saginaw.org/names-clergy-accused-sexual-abuse-minor","Robert D. Gruss","Bishop","2019-07-26","TRUE"
"2633","Diocese of Salina","diocese-of-salina","SAL","41411","Kansas","TRUE","14","March 2019","https://salinadiocese.org/home/clergy-abuse","Gerald L. Vincke","Bishop","2018-08-22","TRUE"
"2634","Diocese of Salt Lake City","diocese-of-salt-lake-city","SLC","310183","Utah","TRUE","23","Dec. 2018","https://www.dioslc.org/offices/office-of-safe-environment/404-clergy-abuse-allegations","Oscar Azarcon Solis","Bishop","2017-03-07","TRUE"
"2635","Diocese of San Angelo","diocese-of-san-angelo","SAN","85370","Texas","TRUE","14","Jan. 2019","https://sanangelodiocese.org/accused-clergy","Michael J. Sis","Bishop","2014-01-27","TRUE"
"2636","Diocese of San Bernardino","diocese-of-san-bernardino","SB","1718397","California","TRUE","38","Oct. 2018","https://www.sbdiocese.org/sexualabuse.cfm","Gerald R. Barnes","Bishop","1996-03-12","TRUE"
"2637","Diocese of San Diego","diocese-of-san-diego","SD","1391278","California","TRUE","53","March 2007","https://www.safeinourdiocese.org/clergy-files/","Robert W. McElroy","Bishop","2015-04-15","TRUE"
"2638","Diocese of San Jose","diocese-of-san-jose","SJ","635000","California","TRUE","86","Oct. 2018","https://www.dsj.org/protecting-gods-children/clergy-disclosure-list/","Oscar Cantu","Bishop","2019-05-01","TRUE"
"2639","Diocese of Santa Rosa","diocese-of-santa-rosa","SR","183075","California","TRUE","39","Jan. 2019","http://srdiocese.org/content/press-room#list%20of%20priests","Robert F. Vasa","Bishop","2011-06-30","TRUE"
"2640","Diocese of Savannah","diocese-of-savannah","SAV","79264","Georgia","TRUE","17","Nov. 2018","https://www.diosav.org/component/edocman/diocesan-news","Gregory J. Hartmayer OFM Conv","Bishop","2011-10-18","TRUE"
"2641","Diocese of Scranton","diocese-of-scranton","SCR","278515","Pennsylvania","TRUE","83","Aug. 2018","https://www.dioceseofscranton.org/child-protection-victim-assistance/credibly-accused-individuals/","Joseph C. Bambera","Bishop","2010-04-26","TRUE"
"2642","Diocese of Shreveport","diocese-of-shreveport","SHP","41335","Louisiana","TRUE","26","Dec. 2018","http://www.dioshpt.org/release-of-names-of-priests-who-served-in-the-former-diocese-of-alexandria-shreveport-removed-for-sexual-abuse-of-minors/;  http://www.dioshpt.org/release-of-names-of-jesuit-removed-for-sexual-abuse-of-minors-priests-who-served-in-the-diocese-of-shreveport/","Rev. Msgr. Francis Malone","Bishop","2020-01-28","TRUE"
"2643","Diocese of Sioux City","diocese-of-sioux-city","SC","79490","Iowa","TRUE","30","Feb. 2019","https://scdiocese.org/credibly-accused-priests","R. Walker Nickless","Bishop","2006-01-20","TRUE"
"2644","Diocese of Sioux Falls","diocese-of-sioux-falls","SFS","115785","South Dakota","TRUE","11","March 2019","http://www.sfcatholic.org/bishop-swain/publication-of-names-priests/","Paul J. Swain","Bishop","2006-10-26","TRUE"
"2645","Diocese of Spokane","diocese-of-spokane","SPK","111181","Washington","TRUE","30","Nov. 2009","https://dioceseofspokane.org/office-of-victims-assistance","Thomas A. Daly","Bishop","2015-05-20","TRUE"
"2646","Diocese of Springfield in Illinois","diocese-of-springfield-in-illinois","SFD","120353","Illinois","TRUE","21","Nov. 2018","https://promise.dio.org/","Thomas John Paprocki","Bishop","2010-06-22","TRUE"
"2647","Diocese of Springfield in Massachusetts","diocese-of-springfield-in-massachusetts","SPR","202300","Massachusetts","TRUE","20","Aug. 2011","http://diospringfield.org/credibly-accused-clergy/","Mitchell Thomas Rozanski","Bishop","2014-08-12","TRUE"
"2648","Diocese of Springfield-Cape Girardeau","diocese-of-springfield-cape-girardeau","SPC","65032","Missouri","TRUE","39",,"http://dioscg.org/about/child-youth-protection2/","Edward M. Rice","Bishop","2016-06-01","TRUE"
"2649","Diocese of St. Augustine","diocese-of-st-augustine","STN","179000","Florida","FALSE",,,,"Felipe J. Estévez","Bishop","2011-06-02","TRUE"
"2650","Diocese of St. Cloud","diocese-of-st-cloud","STA","133670","Minnesota","TRUE","41","Jan. 2014","http://stcdio.org/list-clergy-likely-abused-minors/","Donald J. Kettler","Bishop","2013-11-07","TRUE"
"2651","Diocese of St. Petersburg","diocese-of-st-petersburg","SP","470017","Florida","TRUE","14","2011","https://www.dosp.org/safe-environment/credibly-accused-individuals/","Gregory L. Parkes","Bishop","2016-11-28","TRUE"
"2652","Diocese of St. Thomas, VI","diocese-of-st-thomas-vi",,"33500","Virgin Islands","FALSE",,,,"Herbert A. Bevard","Bishop","2008-09-03","TRUE"
"2653","Diocese of Steubenville","diocese-of-steubenville","STU","35480","Ohio","TRUE","17","Oct. 2018","https://diosteub.org/accused-priests-list","Jeffrey M. Monforton","Bishop","2006-10-29","TRUE"
"2654","Diocese of Stockton","diocese-of-stockton","STO","255680","California","TRUE","14","2014","https://stocktondiocese.org/diocesan-home/credibly-accused/","Myron Joseph Cotta","Bishop","2018-03-15","TRUE"
"2655","Diocese of Superior","diocese-of-superior","SUP","64231","Wisconsin","FALSE",,,,"James P. Powers","Bishop","2016-02-18","TRUE"
"2656","Diocese of Syracuse","diocese-of-syracuse","SY","235348","New York","TRUE","57","Dec. 2018","https://www.syracusediocese.org/safe-environment/victim-assistance/list-of-clergy-with-credible-allegation-of-sexual-abuse-of-a-minor/","Douglas J. Lucia","Bishop","2019-08-08","TRUE"
"2657","Diocese of The Personal Ordinariate of the Chair of St. Peter","diocese-of-the-personal-ordinariate-of-the-chair-of-st-peter",,,"Texas","TRUE","0","Jan. 2019","https://ordinariate.net/safe-environment","Steven J. Lopes","Bishop","2016-02-02","TRUE"
"2658","Diocese of Toledo","diocese-of-toledo","TOL","329080","Ohio","TRUE","24","2003","https://toledodiocese.org/page/protecting-youth-victim-assistance#_clergy_status_report","Daniel E. Thomas","Bishop","2014-10-22","TRUE"
"2659","Diocese of Trenton","diocese-of-trenton","TR","880950","New Jersey","TRUE","31","Feb. 2019","https://dioceseoftrenton.org/committed-to-healing","David M. O'Connell CM","Bishop","2010-12-01","TRUE"
"2660","Diocese of Tucson","diocese-of-tucson","TUC","476687","Arizona","TRUE","49","June 2002","https://diocesetucson.org/credibly-accused","Edward Joseph Weisenburger","Bishop","2017-11-29","TRUE"
"2661","Diocese of Tulsa","diocese-of-tulsa","TLS","61131","Oklahoma","TRUE","11","Oct. 2019","https://dioceseoftulsa.org/clergy-allegation-report","David Konderla","Bishop","2016-06-29","TRUE"
"2662","Diocese of Tyler","diocese-of-tyler","TYL","123400","Texas","TRUE","9","Jan. 2019","https://www.dioceseoftyler.org/en/news/diocesan-news/bishop-strickland-s-letter-to-the-diocese-regarding-credible-allegations-of-sexual-abuse","Joseph E. Strickland","Bishop","2012-11-28","TRUE"
"2663","Diocese of Venice","diocese-of-venice","VEN","237120","Florida","FALSE",,,,"Frank J. Dewane","Bishop","2007-01-19","TRUE"
"2664","Diocese of Victoria","diocese-of-victoria","VIC","103990","Texas","TRUE","3","Jan. 2019","https://victoriadiocese.org/publication-of-names-of-clergy-credibly-accused-of-sexually-abusing-a-minor","Brendan J. Cahill","Bishop","2015-06-29","TRUE"
"2665","Diocese of Wheeling-Charleston","diocese-of-wheeling-charleston","WH","109100","West Virginia","TRUE","40","Nov. 2018","https://dwc.org/diocese-of-wheeling-charleston-releases-list-of-priests-credibly-accused-of-abuse-against-minors/","Mark E. Brennan","Bishop","2019-08-22","TRUE"
"2666","Diocese of Wichita","diocese-of-wichita","WCH","112056","Kansas","TRUE","16","Sept. 2019","https://catholicdioceseofwichita.org/clergy-disclosures/","Carl A. Kemme","Bishop","2014-05-01","TRUE"
"2667","Diocese of Wilmington","diocese-of-wilmington","WIL","245636","Delaware","TRUE","25","Nov. 2006","https://www.cdow.org/non-monetary-settlement-undertakings/","W. Francis Malooly","Bishop","2008-11-08","TRUE"
"2668","Diocese of Winona-Rochester","diocese-of-winona-rochester","WIN","132825","Minnesota","TRUE","18","Dec. 2013","https://www.dowr.org/disclosures/index.html","John M. Quinn","Bishop","2008-12-11","TRUE"
"2669","Diocese of Worcester","diocese-of-worcester","WOR","281690","Massachusetts","FALSE",,,,"Robert J. McManus","Bishop","2004-05-14","TRUE"
"2670","Diocese of Yakima","diocese-of-yakima","YAK","175078","Washington","TRUE","21","July 2019","https://sites.google.com/a/yakimadiocese.com/abuse-disclosure-list/","Joseph J. Tyson","Bishop","2011-05-31","TRUE"
"2671","Diocese of Youngstown","diocese-of-youngstown","Y","175110","Ohio","TRUE","39","Oct. 2018","https://doy.org/safe-environment/","George V. Murry SJ","Bishop","2007-03-28","TRUE"
"2672","Eparchy of Newton","eparchy-of-newton",,"21840","Massachusetts","FALSE",,,,"Nicholas J. Samra","Bishop",,"TRUE"
"2673","Eparchy of Our Lady of Deliverance Syriac Catholic Diocese in the USA","eparchy-of-our-lady-of-deliverance-syriac-catholic-diocese-in-the-usa",,"12600","New Jersey","FALSE",,,,"Yousif Habash","Bishop",,"TRUE"
"2674","Eparchy of St. George in Canton for the Romanians","eparchy-of-st-george-in-canton-for-the-romanians",,"6240","Ohio","FALSE",,,,"John Michael Botean","Bishop",,"TRUE"
"2675","Eparchy of St. Maron of Brooklyn","eparchy-of-st-maron-of-brooklyn",,"25959","New York","FALSE",,,,"Gregory John Mansour","Bishop",,"TRUE"
"2676","Holy Protection of Mary Byzantine Catholic Eparchy of Phoenix","holy-protection-of-mary-byzantine-catholic-eparchy-of-phoenix",,"2420","Arizona","FALSE",,,,"Bishop John Stephen Pazak C.Ss.R","Bishop",,"TRUE"
"2677","Maronite Eparchy of Our Lady of Lebanon","maronite-eparchy-of-our-lady-of-lebanon",,,"Missouri","FALSE",,,,"Abdallah Elias Zaidan MLM","Bishop",,"TRUE"
"2678","St. Nicholas of Chicago for Ukrainians","st-nicholas-of-chicago-for-ukrainians",,"12600","Illinois","FALSE",,,,"Benedict Aleksiychuk","Bishop",,"TRUE"
"2679","St. Thomas Syro Malabar Diocese of Chicago","st-thomas-syro-malabar-diocese-of-chicago",,"87000","Illinois","FALSE",,,,"Jacob Angadiath","Bishop",,"TRUE"
"2680","Syro-Malankara Catholic Eparchy in the USA","syro-malankara-catholic-eparchy-in-the-usa",,,"New York","FALSE",,,,"Philipos Mar Stephanos Thottathil","Bishop",,"TRUE"
"2681","Ukrainian Catholic Archeparchy of Philadelphia","ukrainian-catholic-archeparchy-of-philadelphia",,"13944","Pennsylvania","TRUE","0","Oct. 2018","http://ukrarcheparchy.us/decree/letter-to-the-people-of-god-clergy-and-religious-of-the-archeparchy-of-philadelphia","Borys Andrij Gudziak","Archbishop","2019-06-04","TRUE"
"2682","Ukrainian Catholic Eparchy of St. Josaphat-Parma","ukrainian-catholic-eparchy-of-st-josaphat-parma",,"11057","Ohio","FALSE",,,,"Bohdan Danylo","Bishop",,"TRUE"
"2683","Dominican Province of St. Joseph","dominican-province-of-st-joseph",,,,"TRUE","25","Nov. 2018","https://opeast.org/about/child-protection/allegations/?fbclid=IwAR3rMyT9mmCu3IRP3PQg1Izou4P7u4FntNs54KTyTQvYO237C8Vr-N3Tbo4",,,,"FALSE"
"2684","Franciscans – St. Barbara","franciscans-st-barbara",,,,"TRUE","58","May 2019","https://sbfranciscans.org/list-of-credibly-accused/",,,,"FALSE"
"2685","Holy Cross Order","holy-cross-order",,,,"TRUE","15","June 2019","https://www.holycrossusa.org/article/list-of-those-credibly-accused-of-sexual-abuse-of-a-minor/",,,,"FALSE"
"2686","Jesuits Central and Southern Province","jesuits-central-and-southern-province",,,,"TRUE","42","Dec. 2018","https://jesuitscentralsouthern.org/story?feature=-list-of-jesuits-with-credible-accusations-of-sexual-abuse-of-a-minor&tn=project-20181130120107050811032329",,,,"FALSE"
"2687","Jesuits Maryland Province","jesuits-maryland-province",,,"Maryland","TRUE","31","Dec. 2018","http://www.mdsj.org/news-detail?TN=NEWS-20181214105711",,,,"FALSE"
"2688","Jesuits Midwest Province","jesuits-midwest-province",,,,"TRUE","65","Dec. 2018","http://jesuitsmidwest.org/story?TN=PROJECT-20181130114435",,,,"FALSE"
"2689","Jesuits of the USA Northeast Province","jesuits-of-the-usa-northeast-province",,,,"TRUE","52","Jan. 2019","https://www.jesuitseast.org/news-detail?TN=NEWS-20190107100547",,,,"FALSE"
"2690","Jesuits Oregon Province","jesuits-oregon-province",,,"Oregon","TRUE","63","March 2015","http://image.jesuits.org/OREPROV/media/List%20of%20men%20Final.pdf",,,,"FALSE"
"2691","Jesuits West","jesuits-west",,,,"TRUE","111","Dec. 2018","https://jesuitswest.org/story?TN=PROJECT-20181203013831",,,,"FALSE"
"2692","Paulist Fathers","paulist-fathers",,,,"TRUE","13","March 2019","https://www.paulist.org/app/uploads/2019/03/List-of-Paulist-Fathers-Credibly-Accused-of-Misconduct.pdf",,,,"FALSE"
"2693","Saint Joseph Abbey","saint-joseph-abbey",,,,"TRUE","4","Nov. 2018","https://www.saintjosephabbey.com/abbey-statement-2018",,,,"FALSE"
"2694","Society of Saint Edmund","society-of-saint-edmund",,,,"TRUE","10","Aug. 2019","http://www.sse.org/safe-environments.html",,,,"FALSE"
"2695","St. John's Abbey","st-johns-abbey",,,,"TRUE","21","Dec. 2013","https://saintjohnsabbey.org/safe-environments",,,,"FALSE"
"2696","St. Norbert Abbey","st-norbert-abbey",,,,"TRUE","22","July 2019","http://www.norbertineresponse.org/uploads/1/2/6/1/126193822/list_7.19.19.pdf",,,,"FALSE"
"2697","Ukrainian Catholic Eparchy of Stamford","ukrainian-catholic-eparchy-of-stamford",,"15141","Connecticut","FALSE",,,,"Paul P. Chomnycky OSBM","Bishop",,"TRUE"
"2698","Xaverian Brothers","xaverian-brothers",,,,"TRUE","34","July 2019","https://xaverianbrothers.org/hope-and-healing-programs/",,,,"FALSE"
"2699","Glenmary Home Missioners","glenmary-home-missioners",,,,"TRUE","11","Oct. 2019","https://glenmary.org/resources/credible-abuse/",,,,"FALSE"
"2700","Oblates of St. Francis De Sales","oblates-of-st-francis-de-sales",,,,"TRUE","12","Aug. 2011","https://www.oblates.org/healing",,,,"FALSE"
"2701","Legionaries","legionaries",,,,"TRUE","4","Dec. 2019","https://legionariesofchrist.org/members-of-the-religious-congregation-of-the-legionaries-of-christ-who-were-active-in-ministry-in-the-united-states-with-substantiated-sexual-abuse-allegations/",,,,"FALSE"
